1,Galería Selvanegra,"Selvanegra es una galería de arte contemporáneo que nace en noviembre de 2017 bajo la dirección y el deseo de Silvina y Josefina Sícoli. La galería funciona en una ochava, dentro del circuito de Villa Crespo, con vidrieras a la calle que facilitan la interacción con el barrio y el público general a través de actividades y exposiciones propuestas hacia afuera. La situación de vidriera, y la historia reciente del local como comercio y espacio de arte, son características que potencian cada exhibición. Selvanegra es un proyecto de gestión y comercialización de obras de artistas trabajadoras. Propicia un espacio de experimentación y pensamiento, haciendo foco en los feminismos, con la intención de promover un vínculo entre el circuito artístico y el mercado del arte.","Gurruchaga 301, Buenos Aires ",F4 - Factor
2,Isla Flotante,"Creemos que ser artista está cada vez más cerca de la gestión y del desarrollo de lazos de cooperación, es por esto que nos parece fundamental señalar este estado de situación, en donde el rol del artista ya no es único sino múltiple y móvil. Somos un espacio autogestionado no como último recurso, sino como reivindicación del ser artista hoy.","Viamonte 776, Buenos Aires",F11 - Factor
3,Gachi Pietro,"Gachi Prieto es una plataforma de producción, investigación y reflexión en el campo del arte contemporáneo latinoamericano. Desde Buenos Aires, trabaja con el compromiso pleno de promover proyectos y artistas que formen parte de este complejo sistema, buscando constantemente nuevos significados y enfocando su trabajo en la experimentación y el respeto a los procesos creativos. Ubicada en el barrio de Palermo, con un espacio de 200 m2 la galería apunta a la posibilidad de jerarquizar la exhibición de los formatos de obra más contemporáneos y se constituye como un lugar abierto de interacción, encuentros y experiencias compartidas entre el público y lxs artistas, para fomentar la discusión y expandir el campo de creación, producción, circulación y comercialización de arte.","Uriarte 1373, Buenos Aires",F16 - Arena 1
4,Waldengallery,"Waldengallery emerge con la intención de tender puentes y reflexionar con criterio en torno a procesos artísticos, condiciones de producción, consumos culturales y vínculos político-afectivos entre obras, creadores, gestores, instituciones y espectadores. Ocupa hoy el espacio histórico que alojó al mítico CAyC (Centro de Arte y Comunicación), institución responsable de la internacionalización del arte local y latinoamericano entre 1960 y finales de los 90. Continuando con ese espíritu experimental, la galería fomenta el diálogo permanente entre artistas de distintas generaciones. Además de un nutrido calendario anual de exhibiciones y la participación en ferias internacionales, waldengallery cuenta con su propio sello editorial. En febrero de 2009 presentó “Yulinda”, una publicación trimestral que pretende construirse como un espacio de difusión, discusión y pensamiento, que despierte interrogantes y aliente investigaciones venideras sobre prácticas artísticas contemporáneas.","Viamonte 452, Buenos Aires",F7 - Arena 1
5,Galería Nora Fisch,"En 2020 la galería desarrolló una serie de publicaciones online titulada “Orgullo y Prejuicio. Arte en Argentina en los 90 y después”. De la mano del especialista Francisco Lemus exploramos los desarrollos de esa década que marcaron al arte argentino entonces y hasta hoy. En este arteba traemos a lo presencial algunos de esos artistas y expandimos nuestra propuesta hacia el presente con base en dos ejes que estuvieron y hoy siguen siendo significativos: por un lado, la pintura, el collage, la revalorización de lo artesanal; por otro, la expresión de género y el espíritu irreverente. Utilizando estos ejes presentamos un panorama del programa de la galería. En arteba podrá verse obra de quienes fueron centrales a la escena del arte de los 90 como Alfredo Londaibere, Alberto Goldenstein, Fernanda Laguna, Raúl Flores, Lux Lindner. Y a través de ambos ejes temáticos exhibiremos obra de Silvia Gurfein, Sofía Bohtlingk, Tiziana Pierri, Amadeo Azar y Guzmán Paz.","Av. Córdoba 5222, Buenos Aires",F12 - Arena 1
6,Palatina,"Galería Palatina abrió sus puertas en 1975. Desde aquel entonces ha representado a artistas argentinos de la talla de Carlos Alonso, Antonio Pujía, Alberto Bastón Díaz, Lucrecia Orloff, Cristina Santander, Teresa Pereda. También ha exhibido obra de artistas modernos uruguayos como Pedro Figari, Rafael Barradas, José Gurvich y Joaquín Torres García. Actualmente, además de dedicarse al mercado secundario de artistas modernos, representa a un número creciente de artistas jóvenes.","Arroyo 821, Buenos Aires",Participación virtual
7,Galería Sendros,Somos una galería de arte contemporáneo especializada en el lanzamiento y visibilización de nuevos artistas.,"Wenceslao Villafañe 584, Buenos Aires",F9 - Arena 2
8,COSMOCOSA,"Cosmocosa se funda en el año 2011, con un modelo distintivo de galería de arte moderno y contemporáneo. Su fundadora, Amparo Díscoli (Buenos Aires, 1980), comenzó como marchand y editora de arte independiente a tiempo completo desde 2004. Gradualmente fue transformándose en una galería que propuso tres áreas de práctica: la representación de artistas y/o sus legados; proyectos de investigación; y asesoría personalizada para clientes privados y corporativos. El programa de la galería ha ganado reputación por la calidad y el enfoque de sus proyectos de investigación; el patrimonio de artistas que representa, distribuyendo regularmente sus obras en museos y colecciones privadas a nivel local e internacional; y su capacidad para trabajar de la mano integrando a los diferentes actores y esferas del mundo del arte. La galería ha servido a museos, no solo con obras de arte, sino también con exposiciones derivadas directamente de sus proyectos de investigación. En una planta baja de estilo parisino en el barrio de Recoleta de Buenos Aires, funciona como un gabinete de alto contraste con sus propuestas de vanguardia.","Montevideo 1430, PB, Buenos Aires",F10 - Arena 2
9,Valerie,"Valerie es una galería de arte contemporáneo dirigida por las artistas Valentina Quintero y Jimena Lusi. Es un espacio de cruce de lenguajes teniendo como núcleo las artes visuales, que pondera el trabajo colaborativo entre artistas, diseñadorxs, músicxs, curadorxs y gestorxs. Nos excitan los desafíos y lxs artistas apasionadxs, la moda y el futuro, las obras que auguran ese espíritu que ama los días de sol, las girl-girls, las boy girls, los girl-boys y los boy-boys. Nuestra utopía tiene objetivos múltiples;es proyectar una imagen de potencialidad y posibilidad en nombre de otro tiempo y otro lugar, socavando el tejido de la realidad. Una imagen intermedial del futuro, negamos el presente que nos entristece. Nuestrx organismo como una ilegalidad, ninguna legalidad excepto el placer. Nuestra factoría.","Pasaje San Martín, Av. San Martín 1136, Mendoza",F16 - Factor
10,Ruth Benzacar ,"Desde su fundación en 1965, Ruth Benzacar ha estado comprometida con la promoción del arte contemporáneo, enfocándose en la obra de artistas argentinos. El calendario anual de la galería incluye cinco exhibiciones que tienen lugar en su espacio principal. En 2021 renovó una propiedad adyacente e inauguró una segunda sala de exposiciones que permitirá albergar muestras adicionales. Con el convencimiento de que el arte contemporáneo es un actor social y político importante en todos los contextos, Ruth Benzacar organiza y acoge otros eventos como conversaciones públicas, presentaciones de libros y performances que acompañan y enriquecen los contenidos de cada exposición. Ruth Benzacar ha sido pionera en la inserción del arte latinoamericano en la escena mundial. También ha podido generar y mantener una fuerte presencia internacional debido a su participación constante en ferias de arte y sus conexiones de larga data con curadores, instituciones y coleccionistas de todo el mundo. Ruth Benzacar ha participado en ferias como ARCO Madrid (desde 1988) y Art Basel Miami Beach (desde 2001).","Juan Ramírez de Velasco 1287, Buenos Aires",F7 - Arena 2
